2010-12-01,885,324,286,340,321,352,321,309,313,350,331,445,235
2011-01-01,417,92,111,96,134,120,103,101,125,136,152,49,0
2011-02-01,380,71,71,108,103,94,96,106,94,116,26,0,0
2011-03-01,452,68,114,90,101,76,121,104,126,39,0,0,0
2011-04-01,300,64,61,63,59,68,65,78,22,0,0,0,0
2011-05-01,284,54,49,49,59,66,75,27,0,0,0,0,0
2011-06-01,242,42,38,64,56,81,23,0,0,0,0,0,0
2011-07-01,188,34,39,42,51,21,0,0,0,0,0,0,0
2011-08-01,169,35,42,41,21,0,0,0,0,0,0,0,0
2011-09-01,299,70,90,34,0,0,0,0,0,0,0,0,0
2011-10-01,358,86,41,0,0,0,0,0,0,0,0,0,0
2011-11-01,323,36,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,41,0,0,0,0,0,0,0,0,0,0,0,0
